ID,PrimaryKey,Plant_sp_count,BareSoilCover,TotalFoliarCover,FH_TotalLitterCover,latitude,longitude,CRS
1,WY_WYAIM-RAFO-2021_RFO2021-NR-001_V12021-09-01,142,0,78.66666667,14,41.20348837,-105.2172398,4326
2,WY_Land-Use-Plan-Sample-Design-2021_MGP-295_V12021-09-01,132,38,52,7.33333333,44.14382485,-106.0702255,4326
3,WY_WYAIM-RAFO-2021_RFO2021-NR-005_V12021-09-01,130,30,56,8,41.79975531,-106.4735808,4326
4,WY_Land-Use-Plan-Sample-Design-2021_MSGL-105_V12021-09-01,128,27.33333333,45.33333333,14.66666667,43.75188074,-107.0094333,4326
5,WY_Land-Use-Plan-Sample-Design-2021_MGP-282_V12021-09-01,126,3.33333333,64.66666667,20,43.96495264,-105.1745327,4326
6,WY_WY_NewcastleFieldOffice_2021_SH-223_V12021-09-01,126,18.66666667,64,12.66666667,44.13047453,-104.976572,4326
7,WY_Land-Use-Plan-Sample-Design-2021_MGP-290_V12021-09-01,122,16.66666667,60,14,44.94144825,-105.9792625,4326
8,MTC02000_2018_SiltLoamy-2482018-09-01,119,26.66666667,48.66666667,16,47.04025021,-105.6855591,4326
9,WY_WY-Kemmerer-FO-2021_KFO2021-010_V22021-09-01,118,7.33333333,80,12,42.41028704,-110.8381295,4326
10,WY_WY_NewcastleFieldOffice_2021_GR-096_V12021-09-01,118,21.33333333,62,10.66666667,43.31163994,-104.5166502,4326
11,WY_WY_NewcastleFieldOffice_2021_GR-100_V12021-09-01,116,19.33333333,74,4.66666667,43.42875873,-104.5401734,4326
12,WY_WFO-Terrestrial-AIM-2021_GL-PHMA-315_V12021-09-01,114,4,88,8,43.59944587,-107.3724937,4326
13,WY_WFO-Terrestrial-AIM-2021_SH-045_V12021-09-01,114,3.33333333,82,14,43.76412949,-107.248027,4326
14,WY_WY_NewcastleFieldOffice_2021_GR-097_V12021-09-01,114,10,76.66666667,10,44.04102159,-104.3956917,4326
15,WY_WY_NewcastleFieldOffice_2021_GR-103_V12021-09-01,112,16.66666667,62.66666667,3.33333333,43.40920706,-104.5679297,4326
16,WY_Land-Use-Plan-Sample-Design-2021_SBS-410_V12021-09-01,110,4,78,16,43.54359483,-106.9403186,4326
17,WY_WY_LanderFieldOffice_2016_WY_SAGE-602_V12021-09-01,110,8,75.33333333,6,42.5485163,-108.3985194,4326
18,WY_CYFO-2021_GRA-289_V12021-09-01,108,6.66666667,64,12.66666667,44.20494196,-109.2868181,4326
19,WY_Land-Use-Plan-Sample-Design-2021_MGP-285_V12021-09-01,108,46.66666667,48.66666667,2.66666667,44.02982837,-106.1012025,4326
20,WY_WFO-Terrestrial-AIM-2021_GL-074_V12021-09-01,108,2.66666667,84.66666667,12.66666667,43.75092512,-107.2207095,4326
21,WY_Land-Use-Plan-Sample-Design-2021_MGP-281_V12021-09-01,106,34,49.33333333,3.33333333,43.57416757,-106.3248801,4326
22,WY_WFO-Terrestrial-AIM-2021_GL-085_V12021-09-01,106,1.33333333,96,2.66666667,43.7626572,-107.231004,4326
